root         146  0.0  0.0      0     0 ?        I<   11:10   0:00 [edac-poller]
root         147  0.0  0.0      0     0 ?        I<   11:10   0:00 [devfreq_wq]
root         148  0.0  0.0      0     0 ?        S    11:10   0:00 [watchdogd]
root         150  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/0:1H-kblockd]
root         151  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/1:1-events]
root         153  0.0  0.0      0     0 ?        S    11:10   0:00 [kswapd0]
root         154  0.0  0.0      0     0 ?        S    11:10   0:00 [ecryptfs-kthrea]
root         156  0.0  0.0      0     0 ?        I<   11:10   0:00 [kthrotld]
root         157  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/7:1-cgroup_destroy]
root         158  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/2:1-dio/sda2]
root         159  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/3:1-mm_percpu_wq]
root         160  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/4:1-mm_percpu_wq]
root         161  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/6:1-events]
root         163  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/8:1-cgroup_destroy]
root         164  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/10:1-cgroup_destroy]
root         165  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/9:1-mm_percpu_wq]
root         166  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/11:1-events]
root         167  0.0  0.0      0     0 ?        I<   11:10   0:00 [acpi_thermal_pm]
root         168  0.0  0.0      0     0 ?        I<   11:10   0:00 [vfio-irqfd-clea]
root         169  0.0  0.0      0     0 ?        I<   11:10   0:00 [mld]
root         170  0.0  0.0      0     0 ?        I<   11:10   0:00 [ipv6_addrconf]
root         180  0.0  0.0      0     0 ?        I<   11:10   0:00 [kstrp]
root         184  0.0  0.0      0     0 ?        I<   11:10   0:00 [zswap-shrink]
root         185  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/u25:0]
root         192  0.0  0.0      0     0 ?        I<   11:10   0:00 [charger_manager]
root         240  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/11:1H-kblockd]
root         254  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/1:1H-kblockd]
root         255  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/10:1H-kblockd]
root         256  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_0]
root         257  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_0]
root         258  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_1]
root         259  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_1]
root         260  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_2]
root         261  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_2]
root         262  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_3]
root         263  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_3]
root         264  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_4]
root         265  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_4]
root         266  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_5]
root         267  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_5]
root         268  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_6]
root         269  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_6]
root         270  0.0  0.0      0     0 ?        S    11:10   0:00 [scsi_eh_7]
root         271  0.0  0.0      0     0 ?        I<   11:10   0:00 [scsi_tmf_7]
root         276  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/u24:7-events_unbound]
